Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;NEC_2016_calc;NEC_2020_calc;delta_competicao_diff;delta_competicao_log;Gestao_Index;Gestao_Index_c;delta_abstencao_pp_c;delta_competicao_diff_c;delta_competicao_log_c;vantagem2016_c;UF;Populacao;VD1_Reeleito;VD2_DeltaVantagem;mask_27A
Castelo;ES;PIASSI;DOMINGOS FRACAROLI;JOAO PAULO NALI;37.956;11;4 - 20001 até 50000;3 - Sudeste;MASCULINO;0;MDB;4,060716371;4,622936891;-0,56222052;23380;4775;28155;10564;7795;38;28;10;21.969;6898;28867;2029;6690;7;23;-16;-26;Demais serviços;29.086,42;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;04/05/2020;195;0,737142857;21/03/2020;239;0,943181818;0,5945;0,541;0,6697;0,6792;0,6612;0,7367;0,0847;0;0,1202;0;0,067;0;0.1695968744450364;0.23895797970000346;6.936110525496705;4.622936891;4.060716371;-0.5622205200000003;-0.1296707897125676;0.6686178107142858;-0.08810760672353546;1.5009147474835078;-0.4566768879568349;-0.0827954850610918;-1.1510791366906474;ES;37956;0;-26;True
Guarapari;ES;EDSON MAGALHÃES;CARLOS VON;CARLOS VON;128.504;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;3,656135049;2,477225745;1,178909304;69888;18362;88250;27926;27772;32;31;0;68.436;24175;92611;23068;20453;25;22;3;3;Demais serviços;18.272,89;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;18/03/2020;242;0,977272727;0,5499;0,5524;0,6513;0,605;0,5478;0,6563;0,0551;0;-0,0046;1;0,005;0;0.20806798866855525;0.26103810562460183;5.297011695604659;2.477225745;3.656135049;1.1789093039999998;0.38926730910411406;0.8302226344285714;0.07349721699075007;-0.13818408240853852;1.2844529360431653;0.4361426137555898;-11.151079136690647;ES;128504;1;3;True
Linhares;ES;GUERINO ZANON;ELIANA;LUCAS SCARAMUSSA;179.755;12;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;MDB;2,54768768;1,76009909;0,78758859;88885;21264;110149;59147;11562;54;10;43;84.316;29836;114152;41581;22162;36;19;17;-26;Demais serviços;37.766,15;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;21/04/2020;208;0,811428571;18/03/2020;242;0,977272727;0,6356;0,5824;0,8128;0,7101;0,6434;0,8459;0,0745;0;0,061;0;0,0331;0;0.19304759916113629;0.2613708038404934;6.83232046793571;1.76009909;2.54768768;0.7875885900000001;0.36981604702717724;0.8269573282857143;0.07023191084789304;1.3971246899225127;0.8931322220431656;0.416691351678653;31.848920863309353;ES;179755;1;-26;True
Vila velha;ES;MAX FILHO;NEUCIMAR FRAGA;ARNALDINHO BORGO;508.655;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;0;PSDB;4,157709605;3,581891483;0,575818121;251572;65056;316628;80297;65745;25;21;5;235.849;79375;315224;46523;73122;15;23;-8;-13;Demais serviços;25.115,27;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;31/05/2020;168;0,582857143;21/03/2020;239;0,943181818;0,6062;0,601;0,7466;0,6493;0,6579;0,7448;0,0431;0;0,0569;0;-0,0018;1;0.20546508836868502;0.25180506560414184;4.633997723545683;3.581891483;4.157709605;0.5758181219999998;0.14907333883647922;0.7894341372857143;0.03270871984789303;-0.8011980544675144;0.6813617540431652;0.19594864348795502;-6.151079136690647;ES;508655;0;-13;True
Aparecida de goiania;GO;GUSTAVO MENDANHA;MARLÚCIO PEREIRA;BRUNO FELIPE;601.844;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;1,024250703;2,272033237;-1,247782534;233088;47760;280848;122122;42966;43;15;28;229.049;79700;308749;197491;6235;64;2;62;34;Demais serviços;25.173,46;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;20/07/2020;118;0,297142857;03/04/2020;226;0,795454545;0,5641;0,5782;0,7395;0,622;0,5999;0,771;0,0579;0;0,0217;0;0,0315;0;0.17005640061527943;0.25813848789793653;8.80820872826571;2.272033237;1.024250703;-1.247782534;-0.7967138059126923;0.8703710574285715;0.11364563999075017;3.3730129502525124;-1.1422389019568344;-0.7498385012612164;16.848920863309353;GO;601844;1;34;True
Catalao;GO;ADIB ELIAS;JARDEL SEBBA;ELDER GALDINO;113.091;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PODE;2,358923461;1,885930003;0,472993459;58930;6412;65342;37561;14631;57;22;35;54.578;16482;71060;28984;14356;41;20;21;-15;Indústrias de transformação;65.498,10;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;17/03/2020;243;0,988636364;0,6321;0,6005;0,7477;0,679;0,6861;0,7776;0,0469;0;0,0856;0;0,0299;0;0.0981298399191944;0.2319448353504081;13.381499543121372;1.885930003;2.358923461;0.4729934579999999;0.22378428484675933;0.8302133581428571;0.07348794070503584;7.9463037651081745;0.5785370900431653;0.2706595894982351;23.848920863309353;GO;113091;1;-15;True
Itumbiara;GO;ZÉ ANTÔNIO;ALVARO GUIMARÃES;DIONE DA FAMÓVEIS;106.845;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;REPUBLICANOS;3,759861963;1,903698126;1,856163837;59436;7686;67122;36143;14050;54;21;33;54.084;18120;72204;8054;16640;11;23;-12;-45;Demais serviços;45.096,18;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;19/04/2020;210;0,822857143;20/03/2020;240;0,954545455;0,6642;0,4923;0,8461;0,7102;0,567;0,8453;0,046;0;0,0747;0;-0,0008;1;0.11450791096808796;0.25095562572710656;13.644771475901859;1.903698126;3.759861963;1.856163837;0.6805838682294981;0.9682003711428572;0.21147495370503588;8.209575697888662;1.9617074690431655;0.727459172880974;21.848920863309353;GO;106845;0;-45;True
Rio verde;GO;PAULO DO VALE;HEULER;DR OSVALDO;247.259;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;DEM;2,277057229;2,75376937;-0,476712141;105806;11772;117578;47963;26988;41;23;18;96.573;36236;132809;45580;37402;34;28;6;-12;Demais serviços;49.156,63;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/06/2020;164;0,56;06/04/2020;223;0,761363636;0,6225;0,4681;0,8571;0,6758;0,5503;0,8925;0,0533;0;0,0822;0;0,0354;0;0.10012077089251391;0.27284295492022376;17.272218402770985;2.75376937;2.277057229;-0.47671214100000014;-0.1900867328793976;0.9030519480000001;0.1463265305621788;11.837022624757788;-0.37116850895683473;-0.1432114282279218;6.848920863309353;GO;247259;1;-12;True
Senador canedo;GO;DIVINO LEMES;ZELIO CANDIDO;FERNANDO PELLOZO;121.447;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;0;PODE;2,029659384;3,627025354;-1,597365969;56819;8792;65611;11160;9657;17;15;2;62.814;14178;76992;17279;36807;22;48;-25;-28;Indústrias de transformação;32.428,11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;19/04/2020;210;0,822857143;21/03/2020;239;0,943181818;0,4845;0,443;0,5955;0,5426;0,5275;0,6076;0,0581;0;0,0845;0;0,0121;0;0.1340019204096874;0.1841490024937656;5.01470820840782;3.627025354;2.029659384;-1.5973659700000002;-0.5805448627843007;0.9665769944285715;0.2098515769907502;-0.4204875696053776;-1.4918223379568347;-0.5336695581328249;-9.151079136690647;GO;121447;0;-28;True
Balsas;MA;DR, ERIK;CHICO COELHO;ZÉ GABRIEL;96.951;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PDT;1,368280698;2,239843369;-0,871562671;48031;4830;52861;23751;17233;45;33;12;47.017;12186;59203;37475;7152;63;12;51;39;Agricultura, inclusive apoio à agricultura e a pós colheita;49.786,61;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;05/05/2020;194;0,731428571;21/03/2020;239;0,943181818;0,3826;0,2213;0,6267;0,5222;0,4823;0,6844;0,1396;0;0,261;0;0,0577;0;0.09137171071300203;0.20583416380926642;11.44624530962644;2.239843369;1.368280698;-0.871562671;-0.4928509521199924;0.9535157698571429;0.19679035241932163;6.011049531613242;-0.7660190389568345;-0.4459756474685166;0.8489208633093526;MA;96951;1;39;True
Caxias;MA;FABIO GENTIL;LEO COUTINHO;ADELMO SOARES;166.159;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;REPUBLICANOS;1,481871429;1,999506279;-0,517634851;83469;6859;90328;39171;37959;43;42;1;84.362;16638;101000;62075;10334;61;10;51;50;Administração, defesa, educação e saúde públicas e seguridade social;11.564,24;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;30/04/2020;199;0,76;22/03/2020;238;0,931818182;0,3809;0,3574;0,406;0,4444;0,4835;0,3896;0,0635;0;0,1261;0;-0,0164;1;0.07593437250907803;0.16473267326732674;8.879830075824872;1.999506279;1.481871429;-0.5176348500000001;-0.29959452153514815;0.8131168831428571;0.05639146570503584;3.4446342978116746;-0.4120912179568347;-0.2527192168836724;-10.151079136690647;MA;166159;1;50;True
Coroata;MA;LUIS DA AMOVELAR FILHO;TERESA MURAD;EDIMAR FRANCO;65.788;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;PT;2,863919066;2,009126249;0,854792817;34191;3585;37776;16624;14718;44;39;5;34.109;8195;42304;13952;10572;33;25;8;3;Administração, defesa, educação e saúde públicas e seguridade social;7.318;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;04/05/2020;195;0,737142857;14/04/2020;215;0,670454545;0,3775;0,45;0,312;0,4632;0,4935;0,3366;0,0857;0;0,0435;0;0,0246;0;0.0949015247776366;0.19371690620272314;9.881538142508655;2.009126249;2.863919066;0.8547928169999999;0.3544910640502572;0.7725139145714286;0.015788497133607304;4.446342364495457;0.9603364490431653;0.40136636870173303;-6.151079136690647;MA;65788;1;3;True
Grajau;MA;MERCIAL ARRUDA;SIMONE LIMEIRA;MARINALDO DO GESSO;70.692;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;1;MDB;2,339617437;2,084021811;0,255595626;38416;8893;47309;20352;14785;43;31;12;36.081;6685;42766;17289;14177;40;33;7;-4;Administração, defesa, educação e saúde públicas e seguridade social;11.911,80;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,249;0,1182;0,4609;0,372;0,3004;0,4927;0,123;0;0,1822;0;0,0318;0;0.18797691771121774;0.15631576485993545;-3.166115285128229;2.084021811;2.339617437;0.25559562599999985;0.11568783777512107;0.6800463821428571;-0.07667903529496423;-8.601311063141427;0.36113925804316527;0.16256314242659686;0.8489208633093526;MA;70692;1;-4;True
Tutoia;MA;ROMILDO DO HOSPITAL;ALEXANDRE BAQUIL;DIRINGA;59.927;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;PSDB;3,213864757;2,61001262;0,603852138;29809;9887;39696;14573;7353;37;19;18;29.665;5389;35054;6504;13258;19;38;-19;-37;Administração, defesa, educação e saúde públicas e seguridade social;7.306,30;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;20/04/2020;209;0,817142857;21/03/2020;239;0,943181818;0,2457;0,184;0,3247;0,3431;0,2878;0,3372;0,0974;0;0,1038;0;0,0125;0;0.24906791616283758;0.15373423860329777;-9.53336775595398;2.61001262;3.213864757;0.6038521370000001;0.20811913051762032;0.8229035250000001;0.06617810756217879;-14.968563533967178;0.7093957690431655;0.25499443516909615;6.848920863309353;MA;59927;0;-37;True
Belo horizonte;MG;KALIL;JOÃO LEITE;BRUNO ENGLER;2.530.701;15;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2,331870818;4,849016622;-2,517145804;1509919;417537;1927456;314845;395952;16;21;-4;1.392.551;550633;1943184;784307;123215;40;6;34;38;Demais serviços;38.670,40;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;16/04/2020;213;0,84;18/03/2020;242;0,977272727;0,7509;0,744;0,8552;0,781;0,7702;0,8631;0,0301;0;0,0262;0;0,0079;0;0.21662595670147594;0.2833663718927286;6.674041519125268;4.849016622;2.331870818;-2.5171458039999997;-0.7321050544555393;0.831038961;0.07431354356217867;1.2388457411120708;-2.4116021719568344;-0.6852297498040635;-15.151079136690647;MG;2530701;1;38;True
Betim;MG;VITTORIO MEDIOLI;IVAIR NOGUEIRA;MARIA DO CARMO;450.024;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;1,65010065;2,400273522;-0,750172872;236007;42226;278233;119750;30001;43;11;32;229.695;44807;274502;153144;28906;56;11;45;13;Indústrias de transformação;58.871,28;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;20/03/2020;240;0,994285714;15/04/2020;214;0,659090909;0,651;0,6221;0,7591;0,7006;0,7332;0,7842;0,0496;0;0,1111;0;0,0251;0;0.15176488770203392;0.16323014039970565;1.1465252697671735;2.400273522;1.65010065;-0.750172872;-0.37474641230803285;0.8076252318571429;0.050899814419321565;-4.288670508246024;-0.6446292399568346;-0.327871107656557;20.848920863309353;MG;450024;1;13;True
Montes claros;MG;HUMBERTO SOUTO;LENINHA;RUY MUNIZ;417.478;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;CIDADANIA;1,361003229;2,488463608;-1,127460379;216973;45523;262496;76595;48834;29;19;11;220.486;58788;279274;177592;15184;64;5;58;48;Demais serviços;23.426,26;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;20/03/2020;240;0,994285714;22/04/2020;207;0,579545455;0,6622;0,6487;0,7026;0,6777;0,7114;0,7404;0,0155;0;0,0627;0;0,0378;0;0.17342359502620994;0.21050294692667415;3.7079351900464212;2.488463608;1.361003229;-1.127460379;-0.6034433989520934;0.7962615955714286;0.039536178133607325;-1.727260587966776;-1.0219167469568344;-0.5565680943006176;-0.15107913669064743;MG;417478;1;48;True
Ribeirao das neves;MG;JUNYNHO MARTINS;ANTONIO CARLOS CANTOR;DELEI;341.415;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;DEM;2,688986502;2,461521749;0,227464753;160709;35424;196133;68656;39167;35;20;15;165.873;48972;214845;72679;35398;34;16;17;2;Administração, defesa, educação e saúde públicas e seguridade social;13.099,23;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;15/04/2020;214;0,845714286;23/03/2020;237;0,920454545;0,4821;0,4961;0,4867;0,5081;0,5078;0,4883;0,026;0;0,0117;0;0,0016;0;0.18061213564265066;0.22794107379738882;4.732893815473815;2.461521749;2.688986502;0.22746475300000002;0.0883846017178083;0.9665955472857143;0.209870129847893;-0.7023019625393818;0.33300838504316543;0.1352599063692841;3.8489208633093526;MG;341415;1;2;True
Uberlandia;MG;ODELMO LEÃO;ALEXANDRE ANDRADE;ADRIANO ZAGO;706.597;13;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PP;1,91217319;1,79384549;0,1183277;385705;92545;478250;250390;57807;52;12;40;360.437;126113;486550;228390;39584;47;8;39;-1;Demais serviços;53.828,78;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;18/04/2020;211;0,828571429;20/03/2020;240;0,954545455;0,7515;0,7419;0,8991;0,7853;0,8119;0,9102;0,0338;0;0,07;0;0,0111;0;0.19350757971772087;0.25919843798170794;6.569085826398707;1.79384549;1.91217319;0.11832770000000004;0.063878757118897;0.8261595548571429;0.06943413741932158;1.1338900483855099;0.22387133204316548;0.1107540617703728;28.848920863309353;MG;706597;1;-1;True
Amambai;MS;DR BANDEIRA;GILMAR VICENTIN;ZÉ BAMBIL;40.247;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,902500104;3,351483298;-1,448983195;19092;5453;24545;7221;5203;29;21;8;19.144;6751;25895;11157;7038;43;27;16;8;Administração, defesa, educação e saúde públicas e seguridade social;32.016,94;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;11/05/2020;188;0,697142857;21/03/2020;239;0,943181818;0,3932;0,1634;0,6198;0,5291;0,3581;0,6399;0,1359;0;0,1947;0;0,0201;0;0.22216337339580364;0.26070670013516123;3.854332673935759;3.351483298;1.902500104;-1.4489831940000002;-0.5662341579445904;0.662903525;-0.09382189243782124;-1.5808631040774381;-1.3434395619568347;-0.5193588532931146;-3.1510791366906474;MS;40247;1;8;True
Aquidauana;MS;ODILON RIBEIRO;PINHEIRO;DRA    VIVIANE ORRO;48.184;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,712717172;2,030162298;-0,317445126;26084;8352;34436;15061;7594;44;22;22;25.736;9287;35023;17939;5036;51;14;37;15;Administração, defesa, educação e saúde públicas e seguridade social;21.548,90;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;15/05/2020;184;0,674285714;28/03/2020;232;0,863636364;0,4844;0,481;0,6211;0,5508;0,5346;0,6221;0,0664;0;0,0536;0;0,001;0;0.2425368800092926;0.26516860348913573;2.263172347984313;2.030162298;1.712717172;-0.31744512599999997;-0.17003464073135213;0.6482745825714284;-0.10845083486639284;-3.1720234300288843;-0.21190149395683452;-0.12315933607987634;10.848920863309353;MS;48184;1;15;True
Navirai;MS;DR IZAURI;LÉO MATOS;RHAIZA MATOS;56.484;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;0;DEM;3,585246779;1,57009977;2,015147009;27986;8038;36024;19120;5984;53;17;36;26.309;9858;36167;7493;8873;21;25;-4;-40;Demais serviços;45.633,80;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;27/04/2020;202;0,777142857;23/03/2020;237;0,920454545;0,6595;0,5876;0,8005;0,6906;0,6321;0,7613;0,0311;0;0,0445;0;-0,0392;1;0.2231290250943815;0.2725689164155169;4.943989132113538;1.57009977;3.585246779;2.0151470090000005;0.8256881431117582;0.8139424860000001;0.057217068562178786;-0.4912066458996591;2.120690641043166;0.872563447763234;24.848920863309353;MS;56484;0;-40;True
Nova andradina;MS;GILBERTO GARCIA;ROBERTO HASHIOKA;ROBERTO HASHIOKA;56.057;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PL;2,561241663;2,741537027;-0,180295363;25620;7824;33444;10172;10145;30;30;0;24.419;8947;33366;11139;9240;33;28;6;6;Demais serviços;45.159,29;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;02/07/2020;136;0,4;24/03/2020;236;0,909090909;0,6461;0,4947;0,7766;0,7391;0,6366;0,8246;0,093;0;0,1419;0;0,048;0;0.2339433082167205;0.26814721572858596;3.420390751186547;2.741537027;2.561241663;-0.180295364;-0.06802655636612306;0.9012987012857143;0.14457328384789303;-2.01480502682665;-0.07475173195683457;-0.021151251714647268;-11.151079136690647;MS;56057;1;6;True
Tres lagoas;MS;ANGELO GUERREIRO;JORGE MARTINHO;FABRÍCIO VENTUROLI;125.137;12;6 - 100001 até 500000;5 - Centro-Oeste;MASCULINO;1;PSDB;2,159566969;2,112937758;0,046629211;58136;17707;75843;30033;17675;40;23;16;57.810;26163;83973;33331;11606;40;14;26;10;Indústrias de transformação;94.305,67;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;11/05/2020;188;0,697142857;21/03/2020;237;0,920454545;0,6555;0,6203;0,833;0,7307;0,6995;0,8553;0,0752;0;0,0792;0;0,0223;0;0.23346914019751328;0.3115644314243864;7.809529122687311;2.112937758;2.159566969;0.04662921099999995;0.021828442779572844;0.8025139145714286;0.04578849713360733;2.374333344674114;0.1521728430431654;0.06870374743104864;4.848920863309353;MS;125137;1;10;True
Campo novo do parecis;MT;RAFAEL MACHADO;CLOVIS DE PAULA;PIM;36.917;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;PSL;2,999212616;2,790554462;0,208658154;15815;5003;20818;6337;5356;30;26;5;17.743;7066;24809;6395;5902;26;24;2;-3;Agricultura, inclusive apoio à agricultura e a pós colheita;127.547,83;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,6194;0,4922;0,8859;0,6609;0,5176;0,8858;0,0415;0;0,0254;0;-1E-04;1;0.24032087616485734;0.2848159941956548;4.449511803079745;2.790554462;2.999212616;0.2086581540000001;0.0721094848974251;0.8180241187142857;0.06129870127646442;-0.9856839749334521;0.3142017860431655;0.11898478954890089;-6.151079136690647;MT;36917;1;-3;True
Cuiaba;MT;EMANUEL PINHEIRO;WILSON SANTOS;ABILIO;623.614;13;7 - Maior que 500000;5 - Centro-Oeste;MASCULINO;1;MDB;3,908919125;3,748298818;0,160620307;332438;82660;415098;98051;81531;24;20;4;294.861;83236;378097;82367;90631;22;24;-2;-6;Demais serviços;42.918,31;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;16/04/2020;213;0,84;20/03/2020;240;0,954545455;0,6975;0,691;0,8765;0,7113;0,6898;0,8726;0,0138;0;-0,0012;1;-0,0039;1;0.19913369854829463;0.2201445660769591;2.101086752866446;3.748298818;3.908919125;0.1606203070000003;0.04195880864279064;0.8277922078571428;0.07106679041932151;-3.334109025146751;0.2661639390431657;0.08883411329426644;-7.151079136690647;MT;623614;1;-6;True
Juina;MT;ALTIR PERUZZO;DR, EMÍLIO POPULO;PAULO VERONESE;41.190;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;0;PT;2,08227444;2,088030762;-0,005756322;23630;7660;31290;12187;9088;39;29;10;22.111;9767;31878;8004;12057;25;38;-13;-23;Demais serviços;28.732,52;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;04/04/2020;225;0,784090909;0,61;0,4934;0,7706;0,6847;0,6024;0,7966;0,0747;0;0,109;0;0,026;0;0.24480664749121125;0.3063868498651107;6.158020237389946;2.088030762;2.08227444;-0.005756321999999869;-0.0027606256026579167;0.7985435992857142;0.04181818184789288;0.7228244593767492;0.09978731004316557;0.04411467904881788;-1.1510791366906474;MT;41190;0;-23;True
Pontes e lacerda;MT;ALCINO BARCELOS;ROMES;INSPETOR ANTONIO;46.105;11;4 - 20001 até 50000;5 - Centro-Oeste;MASCULINO;1;REPUBLICANOS;1,450370127;2,142587833;-0,692217706;22370;5250;27620;11817;7861;43;28;14;21.990;8448;30438;16761;3988;55;13;42;28;Demais serviços;43.762,66;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,5845;0,4999;0,7814;0,6075;0,4496;0,8373;0,023;0;-0,0503;1;0,0559;0;0.19007965242577843;0.2775478020894934;8.746814966371499;2.142587833;1.450370127;-0.6922177059999999;-0.39019558235623797;0.6800371058571428;-0.07668831158067846;3.3116191883583017;-0.5866740739568345;-0.34332027770476214;2.8489208633093526;MT;46105;1;28;True
Sorriso;MT;ARI LAFIN;DILCEU ROSSATO;XUXU DAL MOLIN;94.941;11;5 - 50001 até 100000;5 - Centro-Oeste;MASCULINO;1;PSDB;1,621821871;2,009286557;-0,387464686;41435;11125;52560;21008;17551;40;33;7;43.665;17313;60978;30179;10524;49;17;32;26;Agricultura, inclusive apoio à agricultura e a pós colheita;98.278,56;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;23/03/2020;237;0,920454545;0,6513;0,563;0,911;0,7207;0,6209;0,9422;0,0694;0;0,0579;0;0,0312;0;0.2116628614916286;0.283922070254846;7.22592087632174;2.009286557;1.621821871;-0.3874646859999997;-0.21422958322566488;0.8180241187142857;0.06129870127646442;1.7907250983085428;-0.2819210539568343;-0.16735427857418908;-4.151079136690647;MT;94941;1;26;True
Abaetetuba;PA;CHITA;ELTON MAUÉS;FRANCINETI CARVALHO;160.439;12;6 - 100001 até 500000;1 - Norte;MASCULINO;0;MDB;4,676251317;4,584662699;0,091588618;88935;15730;104665;25735;20366;25;19;5;95.032;18629;113661;20615;26153;18;23;-5;-10;Administração, defesa, educação e saúde públicas e seguridade social;10.413,48;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;21/04/2020;208;0,811428571;16/03/2020;244;1;0,3181;0,3049;0,3421;0,3888;0,3381;0,3518;0,0707;0;0,0332;0;0,0097;0;0.15028901734104047;0.16389966655229146;1.3610649211250991;4.584662699;4.676251317;0.09158861800000029;0.01978025150791374;0.5444897958571429;-0.21223562158067844;-4.0741308568880985;0.19713225004316573;0.06665555615938953;-6.151079136690647;PA;160439;0;-10;True
Braganca;PA;RAIMUNDÃO;EDSON OLIVEIRA;RENATO OLIVEIRA;130.122;12;6 - 100001 até 500000;1 - Norte;MASCULINO;1;PSDB;2,43891794;3,080331286;-0,641413346;67161;8306;75467;27437;22138;36;29;7;67.338;16140;83478;38481;12356;46;15;31;24;Administração, defesa, educação e saúde públicas e seguridade social;10.682,63;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;12/05/2020;187;0,691428571;15/04/2020;214;0,659090909;0,2593;0,2417;0,3567;0,3735;0,3795;0,3555;0,1142;0;0,1378;0;-0,0012;1;0.11006135131911962;0.19334435420110688;8.328300288198726;3.080331286;2.43891794;-0.6414133459999998;-0.23348267785955917;0.7643599257142857;0.007634508276464391;2.8931045101855286;-0.5358697139568344;-0.18660737320808338;-4.151079136690647;PA;130122;1;24;True
