Município;Estado;Nome do Incumbente;Nome do Principal Adversário em 2016;Nome do Principal Adversário em 2020;População;ln_pop;Faixa de População;Região do País;Gênero;reeleito;Partido;Número efetivo de candidatos de 2020;Número efetivo de candidatos de 2016;delta_nec (2020-2016);Votos válidos 2016;Abstenção 2016;Eleitores 2016;Voto do Incumbente em 2016;Voto do Principal Adversário de 2016;% do eleitorado do Incumbente 2016;% do eleitorado do P, Adversário 2016;Vantagem do Incumbente no primeiro turno 2016;Votos válidos 2020;Abstenção 2020;Eleitores 2020;Voto do Incumbente em 2020;Voto do Principal Adversário de 2020;% do eleitorado do Incumbente 2020;% do eleitorado do P, Adversário 2020;Vantagem do Incumbente no primeiro turno 2020;delta_vantagem (2020-2016);Atividade com maior valor adicionado bruto;Produto Interno Bruto per capita,  a preços correntes (R$ 1,00);Durante o período da pandemia do COVID-19 foi necessário manter pessoas por mais de 24 horas em unidades sem internação;Foi instalado hospital de campanha durante a pandemia da COVID-19 no município;Houve a instalação de tendas de triagem para o combate da COVID-19, no município;Local (público ou privado) com condições de realizar testes PCR ou sorológicos em pacientes suspeitos de COVID-19 - existência;Nos casos de internação por COVID-19, houve necessidade de referenciar o(s) paciente(s) para outro município;O número de internações ultrapassou a capacidade de leitos e de unidades de tratamento intensivo (UTI) públicos ou privados con;O número de leitos foi ampliado para atender à demanda por internação no município em virtude da COVID-19;Serviço de atendimento de emergência - Serviço público municipal;Vigilância epidemiológica;Obrigatoriedade de máscara;Dias da eleição - Máscara;Dias da eleição - Máscara (Normalizado);Início da restrição ao comércio;Dias da eleição - Restrição ao comércio;Dias da eleição - Restrição ao comércio (Normalizado);IFDM 2016;IFDM Saúde 2016;IFDM Emprego 2016;IFDM 2020;IFDM Saúde 2020;IFDM Emprego 2020;delta_firjan_geral_16_20;piora_geral_16_20;delta_firjan_saude_16_20;piora_saude_16_20;delta_firjan_emprego_16_20;piora_emprego_16_20;tx_abstencao_2016;tx_abstencao_2020;delta_abstencao_pp;delta_competicao;delta_abstencao_pp_c;delta_abstencao_pp_z;delta_competicao_c;delta_competicao_z;vantagem2016_c;vantagem2016_z;id_municipio;mask_27A
Costa marques;RO;MIRANDÃO;JACQUELINE;PROFESSOR SERGINHO;19.255;10;3 - 10001 até 20000;1 - Norte;MASCULINO;1;REPUBLICANOS;1.627913342;2.793612587;-1.165699245;6862;2168;9030;2775;2359;31;26;5;6.761;2603;9364;4789;1691;51;18;33;28;Administração, defesa, educação e saúde públicas e seguridade social;13.936,50;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;18/05/2020;181;0,657142857;20/03/2020;240;0,954545455;0,3558;0,3963;0,3997;0,3534;0,3732;0,3631;-0,0024;1;-0,0231;1;-0,0366;1;0.24008859357696566;0.2779794959419052;3.7890902364939527;-1.165699245;-1.6461055415192445;-0.3440843753673184;-1.0601556129796044;-0.977944164037683;-6.151079136690647;-0.5745835395425786;Costa marques - RO;True
Ouro preto do oeste;RO;VAGNO PANISOLY;ROSÁRIA HELENA;ALEX TESTONI;35.445;10;4 - 20001 até 50000;1 - Norte;MASCULINO;0;MDB;1.999563683;1.997786862;0.001776821;21246;8470;29716;9686;9062;33;30;2;20.712;9678;30390;9671;9961;32;33;-1;-3;Administração, defesa, educação e saúde públicas e seguridade social;24.769,65;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;16/06/2020;152;0,491428571;23/03/2020;237;0,920454545;0,5549;0,4968;0,6182;0,5941;0,5723;0,6522;0,0392;0;0,0755;0;0,034;0;0.28503163279041593;0.3184600197433366;3.342838695292066;0.001776821;-2.092357082721131;-0.43736404604350093;0.10732045302039568;0.09899811822738085;-9.151079136690647;-0.854819020231766;Ouro preto do oeste - RO;True
Seringueiras;RO;LEONILDE GARDA;GALEGO;ARMANDO;11.846;9;3 - 10001 até 20000;1 - Norte;FEMININO;0;PDT;3.724988095;2.890585651;0.834402444;7452;1910;9362;3025;2054;32;22;10;7.493;2504;9997;1104;2793;11;28;-17;-27;Administração, defesa, educação e saúde públicas e seguridade social;21.146,51;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;29/05/2020;170;0,594285714;21/03/2020;239;0,943181818;0,488;0,5293;0,4712;0,5045;0,5506;0,4851;0,0165;0;0,0213;0;0,0139;0;0.20401623584704123;0.2504751425427628;4.645890669572158;0.834402444;-0.789305108441039;-0.16498793568334105;0.9399460760203957;0.867056466334014;-1.1510791366906474;-0.1075244050605995;Seringueiras - RO;True
Urupa;RO;CELIO LANG;ZÉ ROBERTO;SERJÃO;11.081;9;3 - 10001 até 20000;1 - Norte;MASCULINO;1;PP;2.568067898;1.899372498;0.6686954;7446;2194;9640;4281;2679;44;28;17;7.182;2567;9749;3591;1842;37;19;18;1;Administração, defesa, educação e saúde públicas e seguridade social;20.209,46;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/04/2020;202;0,777142857;21/03/2020;239;0,943181818;0,4657;0,5367;0,447;0,5326;0,5808;0,5489;0,0669;0;0,0441;0;0,1019;0;0.22759336099585062;0.2633090573392143;3.5715696343363663;0.6686954;-1.8636261436768309;-0.3895525659754605;0.7742390320203958;0.7141994379546782;5.848920863309353;0.5463583832141712;Urupa - RO;True
Vilhena;RO;EDUARDO JAPONÊS;ROSANI DONADON;ROSANI DONADON;104.517;12;6 - 100001 até 500000;1 - Norte;FEMININO;0;PSC;3.222215119;1.932583195;1.289631924;43815;14763;58578;16822;1343;29;2;26;44.704;16478;61182;16714;13882;27;23;5;-22;Demais serviços;30.847,95;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17/04/2020;212;0,834285714;20/03/2020;240;0,954545455;0,6321;0,5583;0,7992;0,6629;0,6257;0,8396;0,0308;0;0,0674;0;0,0404;0;0.2520229437672846;0.26932758000719165;1.7304636239907023;1.289631924;-3.704732154022495;-0.7743977630641778;1.3951755560203958;1.2869844540873305;14.848920863309353;1.3870648252817335;Vilhena - RO;True
Canta;RR;CARLOS BARBUDO;ANDRÉ;ANDRÉ CASTRO;19.257;10;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PROS;2.52720018;6.652148233;-4.124948052;9967;1727;11694;1918;1720;16;15;2;10.768;2126;12894;3171;5508;25;43;-18;-20;Administração, defesa, educação e saúde públicas e seguridade social;17.295,69;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;27/05/2020;172;0,605714286;20/05/2020;179;0,261363636;0,295;0,3456;0,3383;0,3402;0,2545;0,4243;0,0452;0;-0,0911;1;0,086;0;0.14768257225927825;0.16488289126725608;1.7200319007977831;-4.124948052;-3.715163877215414;-0.7765782994078728;-4.019404419979604;-3.707713327460299;-9.151079136690647;-0.854819020231766;Canta - RR;True
Normandia;RR;GUTE BRASIL;JAIRO ARAÚJO;DR RAPOSO;11.772;9;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PL;5.627241012;2.721465734;2.905775278;5608;702;6310;2356;2073;37;33;4;6.141;771;6912;1225;1463;18;21;-3;-8;Administração, defesa, educação e saúde públicas e seguridade social;16.892,62;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;27/05/2020;172;0,605714286;23/03/2020;237;0,920454545;0,237;0,2738;0,2724;0,2455;0,2334;0,217;0,0085;0;-0,0404;1;-0,0554;1;0.11125198098256735;0.1115451388888889;0.02931579063215478;2.905775278;-5.405879987381042;-1.129987593050665;3.0113189100203956;2.777801407695247;-7.151079136690647;-0.6679953664389744;Normandia - RR;True
Pacaraima;RR;JULIANO TORQUATO;TEIA MOTA;WALDERY DAVILA;20.108;10;4 - 20001 até 50000;1 - Norte;MASCULINO;1;REPUBLICANOS;2.380469825;3.717669686;-1.33719986;7148;1473;8621;2671;2028;31;24;7;6.316;1817;8133;2959;2541;36;31;5;-2;Administração, defesa, educação e saúde públicas e seguridade social;15.358,91;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;27/05/2020;172;0,605714286;22/03/2020;238;0,931818182;0,2529;0,277;0,303;0,3148;0,2965;0,3671;0,0619;0;0,0195;0;0,0641;0;0.17086184897343695;0.22341079552440674;5.254894655096979;-1.33719986;-0.18030112291621858;-0.03768822696471548;-1.2316562279796042;-1.1361454917623421;-4.151079136690647;-0.3877598857497869;Pacaraima - RR;True
Sao luiz;RR;JAMES BATISTA;PROF, ITAMAR;MIGUEL RODRIGUES;8.232;9;2 - 5001 até 10000;1 - Norte;MASCULINO;1;SOLIDARIEDADE;1.807622126;3.230492309;-1.422870183;4493;712;5205;1652;1286;32;25;7;4.647;749;5396;2925;1486;54;28;27;20;Administração, defesa, educação e saúde públicas e seguridade social;20.364,42;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;27/05/2020;172;0,605714286;22/03/2020;238;0,931818182;0,3446;0,4451;0,2817;0,3849;0,4025;0,326;0,0403;0;-0,0426;1;0,0443;0;0.1367915465898175;0.1388065233506301;0.2014976760812609;-1.422870183;-5.233698101931936;-1.0939965250358867;-1.3173265509796042;-1.2151723736496194;-4.151079136690647;-0.3877598857497869;Sao luiz - RR;True
Uiramuta;RR;DEDEL;PROF, ZELANDES;TUXAUA BENISIO;11.014;9;3 - 10001 até 20000;1 - Norte;MASCULINO;0;PP;2.837985304;3.041805079;-0.203819774;4544;798;5342;1480;663;28;12;15;5.040;668;5708;1674;2066;29;36;-7;-22;Administração, defesa, educação e saúde públicas e seguridade social;11.985,64;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;30/04/2020;199;0,76;23/03/2020;237;0,920454545;0,151;0,3034;0,1197;0,1605;0,1948;0,1467;0,0095;0;-0,1086;1;0,027;0;0.14938225383751405;0.11702873160476523;-3.2353522232748815;-0.203819774;-8.67054800128808;-1.8123990338809517;-0.09827614197960433;-0.09065516263501759;3.8489208633093526;0.3595347294213796;Uiramuta - RR;True
Bage;RS;DIVALDO LARA;DR FICO;MAINARDI;121.518;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PTB;2.442414873;1.669993863;0.77242101;72686;18969;91655;45948;11060;50;12;38;65.475;25454;90929;30623;24218;34;27;7;-31;Demais serviços;25.942,27;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;30/04/2020;199;0,76;19/03/2020;241;0,965909091;0,5588;0,5456;0,6624;0,6249;0,6783;0,6645;0,0661;0;0,1327;0;0,0021;0;0.20696088593093667;0.279932694739852;7.297180880891532;0.77242101;1.861985102878335;0.38920954028004756;0.8779646420203957;0.8098814809668866;26.848920863309353;2.5080067480384836;Bage - RS;True
Cachoeira do sul;RS;SÉRGIO GHIGNATTI;BALARDIN;JOSÉ OTÁVIO GERMANO;81.552;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PL;4.743269775;3.972853601;0.770416174;52655;16534;69189;17728;9755;26;14;12;46.372;20704;67076;9215;13574;14;20;-6;-18;Demais serviços;28.933,11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;;10/05/2020;189;0,702857143;20/03/2020;240;0,954545455;0,5796;0,615;0,6531;0,6461;0,7665;0,6371;0,0665;0;0,1515;0;-0,016;1;0.23896862217982628;0.30866479813942393;6.969617595959765;0.770416174;1.5344218179465674;0.3207391989524854;0.8759598060203957;0.8080321131551724;0.8489208633093526;0.07929924873219214;Cachoeira do sul - RS;True
Guaiba;RS;SPEROTTO;MARANATA;MARCELO MARANATA;98.331;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PTB;3.252230808;2.215377859;1.036852949;60754;12319;73073;28434;18880;39;26;13;54.242;20245;74487;18295;18507;25;25;0;-13;Demais serviços;59.309,03;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;11/05/2020;188;0,697142857;21/03/2020;239;0,943181818;0,5739;0,6064;0,6667;0,5774;0,5821;0,6793;0,0035;0;-0,0243;1;0,0126;0;0.16858483981771652;0.2717923933035295;10.320755348581297;1.036852949;4.8855595705681;1.0212253532706401;1.1423965810203958;1.053807625736724;1.8489208633093526;0.17271107562858795;Guaiba - RS;True
Novo hamburgo;RS;FATIMA DAUDT;PAULO RITZEL;DELEGADO ZUCCO;247.303;12;6 - 100001 até 500000;4 - Sul;FEMININO;1;PSDB;3.2228836;3.70004172;-0.47715812;146654;31484;178138;36435;33223;20;19;2;126.445;51545;177990;51467;26095;29;15;14;12;Demais serviços;37.575,54;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;25/04/2020;204;0,788571429;20/03/2020;240;0,954545455;0,6991;0,707;0,8789;0,7597;0,7644;0,8907;0,0606;0;0,0574;0;0,0118;0;0.17673938182757187;0.28959492106298107;11.28555392354092;-0.47715812;5.850358145527723;1.2228965746152163;-0.37161448797960434;-0.34279705294405427;-9.151079136690647;-0.854819020231766;Novo hamburgo - RS;True
Uruguaiana;RS;RONNIE MELLO;SCHNEIDER;DELEGADO EPIFÂNIO;126.766;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1.764945086;2.137933456;-0.37298837;67035;23215;90250;28305;9783;31;11;21;57.925;28655;86580;40409;10568;47;12;34;14;Demais serviços;22.387,44;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;10/05/2020;189;0,702857143;19/03/2020;241;0,965909091;0,5637;0,5352;0,6644;0,5892;0,5739;0,6391;0,0255;0;0,0387;0;-0,0253;1;0.2572299168975069;0.330965580965581;7.373566406807408;-0.37298837;1.9383706287942104;0.40517635729690216;-0.26744473797960433;-0.24670531147277247;9.848920863309353;0.9200056907997545;Uruguaiana - RS;True
Itajai;SC;VOLNEI MORASTONI;ANNA CAROLINA;ROBISON COELHO;226.617;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;2.304165474;2.954759072;-0.650593597;117462;25669;143131;38613;27824;27;19;8;113.680;34104;147784;49888;46734;34;32;2;-5;Comércio e reparação de veículos automotores e motocicletas;148.284,92;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;07/05/2020;192;0,72;23/03/2020;237;0,920454545;0,749;0,6935;0,8762;0,781;0,7367;0,9029;0,032;0;0,0432;0;0,0267;0;0.17933920674067813;0.23076923076923078;5.143002402855265;-0.650593597;-0.2921933751579324;-0.061076991992199244;-0.5450499649796043;-0.5027832007252714;-3.1510791366906474;-0.29434805885339116;Itajai - SC;True
Jaragua do sul;SC;ANTIDIO LUNELLI;IVO KONELL;LEANDRO SCHMOCKEL;184.579;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;MDB;1.708427533;2.903720424;-1.195292891;96690;17659;114349;37957;24953;33;22;11;89.476;24747;114223;56476;23455;49;21;29;18;Indústrias de transformação;55.108,89;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;13/04/2020;216;0,857142857;23/03/2020;237;0,920454545;0,7788;0,719;0,8759;0,8141;0,7776;0,933;0,0353;0;0,0586;0;0,0571;0;0.154430733981058;0.2166551395078049;6.222440552674691;-1.195292891;0.7872447746614935;0.16455726544762286;-1.0897492589796043;-1.0052429238083902;-0.15107913669064743;-0.014112578164203679;Jaragua do sul - SC;True
Lages;SC;ANTONIO CERON;MARCIUS MACHADO;CARMEN ZANOTTO;157.158;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PSD;3.196637098;2.963309633;0.233327465;100952;21124;122076;35242;30525;29;25;4;88.828;34173;123001;28329;28273;23;23;0;-4;Demais serviços;37.369,21;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;13/04/2020;216;0,857142857;23/03/2020;237;0,920454545;0,6711;0,576;0,8379;0,7191;0,6293;0,8546;0,048;0;0,0533;0;0,0167;0;0.17303974573216685;0.27782700953650785;10.4787263804341;0.233327465;5.043530602420903;1.0542459357607739;0.3388710970203957;0.3125928001840603;-7.151079136690647;-0.6679953664389744;Lages - SC;True
Sao bento do sul;SC;MAGNO BOLLMANN;TOMAZINI;TOMAZINI;86.317;11;5 - 50001 até 100000;4 - Sul;MASCULINO;0;PP;3.376742979;2.953936132;0.422806847;51125;9288;60413;18048;17903;30;30;0;46.917;14755;61672;10985;17288;18;28;-10;-10;Indústrias de transformação;42.665,85;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;15/07/2020;123;0,325714286;24/03/2020;236;0,909090909;0,7793;0,6785;0,9023;0,8241;0,7252;0,9744;0,0448;0;0,0467;0;0,0721;0;0.15374174432655224;0.2392495784148398;8.550783408828755;0.422806847;3.1155876308155577;0.6512492648933723;0.5283504790203957;0.4873787028984495;-11.151079136690647;-1.0416426740245577;Sao bento do sul - SC;True
Tubarao;SC;JOARES PONTICELLI;CARLOS STÜPP;DR CRISTIANO;107.143;12;6 - 100001 até 500000;4 - Sul;MASCULINO;1;PP;1.994433329;3.078777333;-1.084344004;63975;12082;76057;26555;15930;35;21;14;56.842;21652;78494;35023;10898;45;14;31;17;Demais serviços;37.995,67;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;26/06/2020;142;0,434285714;18/03/2020;242;0,977272727;0,7652;0,6975;0,8931;0,8023;0,7782;0,9305;0,0371;0;0,0807;0;0,0374;0;0.15885454330304902;0.2758427395724514;11.69881962694024;-1.084344004;6.263623848927043;1.3092812369763254;-0.9788003719796043;-0.9028977442708521;2.8489208633093526;0.2661229025249838;Tubarao - SC;True
Boquim;SE;ERALDO DE CABEÇA DANTAS;JEAN  CARLOS;PEDRO BARBOSA;26.980;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PP;2.196425692;1.947200963;0.249224729;17522;2675;20197;9612;6894;48;34;13;16.825;4055;20880;8804;6183;42;30;13;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.285,12;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;29/04/2020;200;0,765714286;21/03/2020;239;0,943181818;0,444;0,5768;0,3717;0,4623;0,5437;0,3779;0,0183;0;-0,0331;1;0,0062;0;0.13244541268505222;0.19420498084291188;6.175956815785966;0.249224729;0.7407610377727689;0.1548408000274689;0.35476836102039566;0.32725728562622286;1.8489208633093526;0.17271107562858795;Boquim - SE;True
Itabaianinha;SE;DANILO DE JOALDO;ALAN VIEIRA;PROFESSOR GLEINYSON;42.399;11;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;DEM;1.994363941;3.106888211;-1.11252427;24353;3273;27626;8465;7068;31;26;5;25.166;4477;29643;12481;11221;42;38;4;-1;Administração, defesa, educação e saúde públicas e seguridade social;11.173,80;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;08/05/2020;191;0,714285714;24/03/2020;236;0,909090909;0,3784;0,5334;0,3814;0,4238;0,4814;0,3673;0,0454;0;-0,052;1;-0,0141;1;0.11847534930862232;0.1510305974429039;3.255524813428158;-1.11252427;-2.179670964585039;-0.455615210227245;-1.0069806379796042;-0.928892726835982;-6.151079136690647;-0.5745835395425786;Itabaianinha - SE;True
Nossa senhora do socorro;SE;PADRE INALDO;DR, SAMUEL;DR, SAMUEL;187.733;12;6 - 100001 até 500000;2 - Nordeste;MASCULINO;1;PP;3.54293029;1.666900868;1.876029422;88234;12200;100434;35190;12276;35;12;23;92.072;17046;109118;27042;24018;25;22;3;-20;Administração, defesa, educação e saúde públicas e seguridade social;14.937,02;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;29/04/2020;200;0,765714286;19/03/2020;241;0,965909091;0,371;0,3632;0,4922;0,4182;0,3534;0,4779;0,0472;0;-0,0098;1;-0,0143;1;0.12147280801322262;0.15621620630876665;3.474339829554403;1.876029422;-1.9608559484587942;-0.40987644910546395;1.9815730540203957;1.8279088277872049;11.848920863309353;1.1068293445925461;Nossa senhora do socorro - SE;True
Porto da folha;SE;MIGUEL DE DR MARCOS;DEMAR;VANDA DE DR JULIO;28.788;10;4 - 20001 até 50000;2 - Nordeste;MASCULINO;1;PSD;1.849687933;3.155931922;-1.30624399;18727;2843;21570;7522;5180;35;24;11;18.785;3796;22581;11689;5017;52;22;30;19;Administração, defesa, educação e saúde públicas e seguridade social;10.866,51;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;27/04/2020;202;0,777142857;24/03/2020;236;0,909090909;0,3581;0,5765;0,2778;0,3343;0,4252;0,2595;-0,0238;1;-0,1513;1;-0,0183;1;0.13180343069077421;0.16810592976396085;3.630249907318664;-1.30624399;-1.8049458706945334;-0.3772866665138363;-1.2007003579796043;-1.107590143812879;-0.15107913669064743;-0.014112578164203679;Porto da folha - SE;True
Tobias barreto;SE;DIÓGENES ALMEIDA;CESAR PRADO;DILSON DE AGRIPINO;52.861;11;5 - 50001 até 100000;2 - Nordeste;MASCULINO;0;MDB;2.271468636;2.048794039;0.222674597;31869;4604;36473;14872;14415;41;40;1;32.109;6778;38887;14047;14458;36;37;-1;-2;Administração, defesa, educação e saúde públicas e seguridade social;11.576,62;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;27/04/2020;202;0,777142857;24/03/2020;236;0,909090909;0,3506;0,3909;0,3893;0,421;0,5139;0,4003;0,0704;0;0,123;0;0,011;0;0.12623036218572642;0.1742998945663075;4.806953238058109;0.222674597;-0.6282425399550879;-0.13132113129278156;0.32821822902039566;0.3027660257338606;-10.151079136690647;-0.9482308471281619;Tobias barreto - SE;True
Barueri;SP;RUBENS FURLAN;SAULO GOES;MARI TAVELLI;279.704;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1.363209619;1.366964059;-0.00375444;200800;44227;245027;143250;19122;58;8;51;196.045;65383;261428;145377;9965;56;4;52;1;Demais serviços;185.046,58;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;23/03/2020;237;0,920454545;0,7795;0,7516;0,9018;0,8304;0,8044;0,9271;0,0509;0;0,0528;0;0,0253;0;0.18049847567819058;0.2500994537692979;6.96009780911073;-0.00375444;1.5249020310975325;0.31874928407220565;0.10178919202039569;0.09389578763695336;39.84892086330935;3.722360497691629;Barueri - SP;True
Bauru;SP;GAZZETTA;RAUL;SUÉLLEN ROSIM;381.706;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3.797054933;3.06473185;0.732323083;204156;59307;263463;78349;52668;30;20;10;188.276;82473;270749;14264;57844;5;21;-16;-26;Demais serviços;40.021,97;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;22/04/2020;207;0,805714286;20/03/2020;240;0,954545455;0,755;0,6916;0,8852;0,8154;0,769;0,9213;0,0604;0;0,0774;0;0,0361;0;0.22510561255280628;0.30461054334457377;7.9504930791767485;0.732323083;2.5152973011635513;0.5257709660190971;0.8378667150203958;0.7728930113313319;-1.1510791366906474;-0.1075244050605995;Bauru - SP;True
Carapicuiba;SP;MARCOS NEVES;PROFESSORA SÔNIA;PROFESSORA SÔNIA;405.375;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;1.780582832;2.144235067;-0.363652235;227232;57561;284793;102287;67794;36;24;12;208.176;82962;291138;128773;21085;44;7;37;25;Demais serviços;15.437,46;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;30/04/2020;199;0,76;21/03/2020;239;0,943181818;0,5598;0,5462;0,5524;0,5984;0,5586;0,5415;0,0386;0;0,0124;0;-0,0109;1;0.20211522052859446;0.2849576489499825;8.284242842138804;-0.363652235;2.8490470641256067;0.5955344628431232;-0.2581086029796043;-0.23809316187309515;0.8489208633093526;0.07929924873219214;Carapicuiba - SP;True
Franca;SP;GILSON DE SOUZA;SIDNEI FRANCO DA ROCHA;FLÁVIA LANCHA;358.539;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;DEM;5.738917833;3.297367967;2.441549866;184127;47779;231906;34976;69902;15;30;-15;168.300;69824;238124;9664;35338;4;15;-11;4;Demais serviços;27.839,58;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,6997;0,5836;0,7873;0,7383;0,6611;0,7721;0,0386;0;0,0775;0;-0,0152;1;0.20602744215328625;0.2932253783742924;8.719793622100616;2.441549866;3.2845978440874184;0.686577360326836;2.5470934980203954;2.349575091760887;-26.151079136690647;-2.442820077470495;Franca - SP;True
Guarulhos;SP;GUTI;ELI CORREA FILHO;ELÓI PIETÁ;1.404.694;14;7 - Maior que 500000;3 - Sudeste;MASCULINO;1;PSD;2.949102366;4.463099691;-1.513997325;746500;156310;902810;208591;135134;23;15;8;700.764;172116;872880;261211;184502;30;21;9;1;Demais serviços;47.301,43;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;19/03/2020;241;1;21/04/2020;208;0,590909091;0,6832;0,602;0,8237;0,7341;0,6444;0,8314;0,0509;0;0,0424;0;0,0077;0;0.1731372049489926;0.1971817431949409;2.4044538245948295;-1.513997325;-3.0307419534183677;-0.6335140278909593;-1.4084536929796043;-1.2992329168503165;-3.1510791366906474;-0.29434805885339116;Guarulhos - SP;True
Jundiai;SP;LUIZ FERNANDO MACHADO;PEDRO BIGARDI;PEDRO BIGARDI;426.935;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSDB;2.01801993;2.935141909;-0.917121979;241046;49232;290278;94388;53576;33;18;14;228.515;86360;314875;134793;11026;43;4;39;25;Demais serviços;121.121,33;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;04/05/2020;195;0,737142857;20/03/2020;240;0,954545455;0,7829;0,7715;0,8341;0,8165;0,7932;0,8715;0,0336;0;0,0217;0;0,0374;0;0.16960293236139148;0.27426756649464074;10.466463413324925;-0.917121979;5.031267635311728;1.0516826156871315;-0.8115783469796043;-0.7486432164966736;2.8489208633093526;0.2661229025249838;Jundiai - SP;True
Limeira;SP;MARIO BOTION;MURILO FELIX;MURILO FELIX;310.783;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;1;PSD;4.700248242;3.009621414;1.690626828;168245;44325;212570;71827;27143;34;13;21;163.294;63333;226627;45248;31402;20;14;6;-15;Demais serviços;44.418,06;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;06/05/2020;193;0,725714286;20/03/2020;240;0,954545455;0,7559;0,68;0,872;0,7828;0,6923;0,8732;0,0269;0;0,0123;0;0,0012;0;0.20851954650232865;0.27945919947755565;7.0939652975227006;1.690626828;1.6587695195095034;0.3467315184857493;1.7961704600203958;1.656883572079545;9.848920863309353;0.9200056907997545;Limeira - SP;True
Mogi das cruzes;SP;MARCUS MELO;GONDIM;CAIO CUNHA;455.587;13;6 - 100001 até 500000;3 - Sudeste;MASCULINO;0;PSDB;3.285381394;1.931078975;1.354302418;240669;56263;296932;129763;64604;44;22;22;230.971;88855;319826;81555;54591;25;17;8;-14;Demais serviços;37.632,19;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;13/05/2020;186;0,685714286;22/03/2020;238;0,931818182;0,7241;0,6771;0,7966;0,7643;0,73;0,7877;0,0402;0;0,0529;0;-0,0089;1;0.1894810933142942;0.2778229412242907;8.83418479099965;1.354302418;3.398989012986453;0.7104884722849641;1.4598460500203958;1.346639972030573;10.848920863309353;1.0134175176961504;Mogi das cruzes - SP;True
